dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,955966.5977880122,D1-M-T1,
DATA1_511.12,theta.Lp,3.2942753885871174,D1-M-T1,
DATA1_511.12,theta.B,0.28345767969247165,D1-M-T1,
DATA1_511.12,theta.sigma,0.9800573680707186,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,1.2004516431157324,D1-M-T2,
DATA1_511.12,nrmse.mass,0.033520024498215006,D1-M-T2,
DATA1_511.12,nrmse.cF,0.01765537081821137,D1-M-T2,
DATA1_511.12,nrmse.cV,0.08376972756760456,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
